"code_domaine_competence","domaine_competence","code_enjeu","enjeu","code_objectif","objectif","code_macro_competence","code_ogr_macro_competence","libelle_macro_competence","code_ogr_competence","libelle_competence"
"1","Management, Social, Soin","1B","Management","1B1","Animer un collectif","1B101","300440","Animer, coordonner une équipe","125215","Diriger des équipes techniques sur un tournage"
"1","Management, Social, Soin","1B","Management","1B1","Animer un collectif","1B101","300440","Animer, coordonner une équipe","300577","Animer les parties prenantes internes et externes d'un projet"
"1","Management, Social, Soin","1B","Management","1B1","Animer un collectif","1B101","300440","Animer, coordonner une équipe","400121","Accompagner des équipes au niveau technique et méthodologique"
"1","Management, Social, Soin","1B","Management","1B1","Animer un collectif","1B101","300440","Animer, coordonner une équipe","400122","Identifier au sein de l'entreprise les différents services à associer en fonction des actions à conduire"
"1","Management, Social, Soin","1B","Management","1B1","Animer un collectif","1B101","300440","Animer, coordonner une équipe","402038","Animer et diriger les équipes de production"
"1","Management, Social, Soin","1B","Management","1B1","Animer un collectif","1B101","300440","Animer, coordonner une équipe","402102","Coordonner l'activité d'une équipe"
"1","Management, Social, Soin","1B","Management","1B1","Animer un collectif","1B101","300440","Animer, coordonner une équipe","402105","Coordonner l'intervention d'équipes de spécialistes"
"1","Management, Social, Soin","1B","Management","1B1","Animer un collectif","1B101","300440","Animer, coordonner une équipe","403066","Animer l'équipe en présentiel ou à distance"
"1","Management, Social, Soin","1B","Management","1B1","Animer un collectif","1B101","300440","Animer, coordonner une équipe","403068","Donner le sens des actions à conduire"
"1","Management, Social, Soin","1B","Management","1B1","Animer un collectif","1B101","300440","Animer, coordonner une équipe","403416","Encadrer une équipe de techniciens CAO pour développer de nouveaux logiciels de modélisation"
"1","Management, Social, Soin","1B","Management","1B1","Animer un collectif","1B101","300440","Animer, coordonner une équipe","403554","Coordonner les activités sur le chantier"
"1","Management, Social, Soin","1B","Management","1B1","Animer un collectif","1B101","300440","Animer, coordonner une équipe","403575","Animer et encadrer les équipes (chargés de communication, graphistes, journalistes, attachés de presse...)"
"1","Management, Social, Soin","1B","Management","1B1","Animer un collectif","1B101","300440","Animer, coordonner une équipe","403621","Encadrer son équipe en organisant les délégations et en effectuant les contrôles adaptés"
"1","Management, Social, Soin","1B","Management","1B1","Animer un collectif","1B101","300440","Animer, coordonner une équipe","403820","Encadrer une équipe de techniciens géomètres topographes"
"1","Management, Social, Soin","1B","Management","1B1","Animer un collectif","1B101","300440","Animer, coordonner une équipe","403824","Déterminer la composition des groupes sportifs pour chaque rencontre"
"1","Management, Social, Soin","1B","Management","1B1","Animer un collectif","1B101","300440","Animer, coordonner une équipe","405188","Animer et coordonner les activités de la structure en lien avec les bénévoles"
"1","Management, Social, Soin","1B","Management","1B1","Animer un collectif","1B101","300440","Animer, coordonner une équipe","405412","Superviser les équipes de développeurs et intégrateurs"
"1","Management, Social, Soin","1B","Management","1B1","Animer un collectif","1B101","300440","Animer, coordonner une équipe","482194","Communiquer efficacement avec les équipes pour assurer la coordination"
"1","Management, Social, Soin","1B","Management","1B1","Animer un collectif","1B101","300440","Animer, coordonner une équipe","485286","Motiver et former l'équipe pour améliorer le service client"
"1","Management, Social, Soin","1B","Management","1B1","Animer un collectif","1B101","300440","Animer, coordonner une équipe","485356","Organiser des activités pour les détenus"
"1","Management, Social, Soin","1B","Management","1B1","Animer un collectif","1B101","300440","Animer, coordonner une équipe","485679","Superviser l'activité d'une équipe"
"1","Management, Social, Soin","1B","Management","1B1","Animer un collectif","1B101","300440","Animer, coordonner une équipe","485779","Participer à des réunions d'équipe régulières"
"1","Management, Social, Soin","1B","Management","1B1","Animer un collectif","1B101","300440","Animer, coordonner une équipe","485991","Encadrer les nouveaux enseignants"
"1","Management, Social, Soin","1B","Management","1B1","Animer un collectif","1B101","300440","Animer, coordonner une équipe","486774","Superviser une équipe de bouchers"
"1","Management, Social, Soin","1B","Management","1B1","Animer un collectif","1B101","300440","Animer, coordonner une équipe","489506","Gérer une équipe en télétravail ou en travail hybride"
"1","Management, Social, Soin","1B","Management","1B1","Animer un collectif","1B101","300440","Animer, coordonner une équipe","489746","Animer des réunions d'équipe"
"1","Management, Social, Soin","1B","Management","1B1","Animer un collectif","1B101","300440","Animer, coordonner une équipe","489762","Assurer un briefing et débriefing sur le service"
"1","Management, Social, Soin","1B","Management","1B1","Animer un collectif","1B101","300440","Animer, coordonner une équipe","489763","Assurer un débriefing auprès de l'équipe"
"1","Management, Social, Soin","1B","Management","1B1","Animer un collectif","1B101","300440","Animer, coordonner une équipe","490122","Animer des temps de brief ou de debrief"
"1","Management, Social, Soin","1B","Management","1B1","Animer un collectif","1B101","300440","Animer, coordonner une équipe","490424","Favoriser l'intégration des sportifs dans les équipes"
"1","Management, Social, Soin","1B","Management","1B1","Animer un collectif","1B101","300440","Animer, coordonner une équipe","499486","Collaborer avec les équipes pour atteindre les objectifs de vente"
"1","Management, Social, Soin","1B","Management","1B1","Animer un collectif","1B101","300440","Animer, coordonner une équipe","501326","Coordonner les activités du studio"
"1","Management, Social, Soin","1B","Management","1B1","Animer un collectif","1B101","300440","Animer, coordonner une équipe","501770","Renforcer les capacités analytiques de l'équipe"
"1","Management, Social, Soin","1B","Management","1B1","Animer un collectif","1B101","300440","Animer, coordonner une équipe","502589","Mobiliser et motiver l'équipe autour de projets communs"
"1","Management, Social, Soin","1B","Management","1B1","Animer un collectif","1B101","300440","Animer, coordonner une équipe","502677","Organiser des séances de débriefing après les représentations"
