"code_ogr","libelle","code_rubrique"
"104073","Etablir les modalités de règlement d'un litige ou transmettre aux services juridiques, contentieux","1"
"104074","Collecter la documentation touristique et organiser l'affichage de l'espace de vente","1"
"104142","Superviser l'élaboration des menus du restaurant et vérifier leur composition, l'équilibre alimentaire et le prix de revient","1"
"104160","Changer les draps, refaire le lit (mise à blanc, recouche) et remplacer le linge de toilette","1"
"104163","Identifier et signaler les dysfonctionnements, les dégradations du mobilier et des équipements de la chambre","1"
"104175","Réaliser le service des petits-déjeuners en salle ou en chambre, selon l'établissement","1"
"104181","Traiter les demandes particulières d'installation","1"
"104183","Concevoir les menus, les cartes et définir les tarifs des plats","1"
"104188","Porter une appréciation gustative, olfactive ou visuelle","1"
"104207","Préparer les viandes et les poissons","1"
"104227","Préparer, assembler des plats simples","1"
"104230","Remettre la commande au client (service à l'assiette, emballage à emporter, plateau, ...)","1"
"104256","Confectionner des crêpes","1"
"104262","Réaliser la plonge","1"
"104263","Essuyer et ranger la vaisselle, la verrerie, les ustensiles de cuisine","1"
"104271","Préparer, assembler des desserts simples","1"
"104278","Conseiller et orienter les clients dans leurs démarches","1"
"104280","Superviser le service de la bagagerie, le stationnement des véhicules et organiser le transport des bagages","1"
"104292","Effectuer le suivi des réservations","1"
"104324","Prendre une commande client","1"
"104344","Concevoir la carte des vins et des boissons selon le type de cuisine, la situation géographique","1"
"104346","Préparer le vin sélectionné (mise en température, décantation, ...), choisir la verrerie adaptée et servir le client","1"
"104357","Conseiller les clients sur l'entretien nécessaire et les options de réparation","1"
"104359","Déterminer les solutions et les préconisations techniques et les communiquer aux clients","1"
"104384","Teindre des matériaux et des matières","1"
"104387","Contrôler les résultats de la teinture/coloration industrielle et apporter des ajustements","1"
"104405","Calculer et définir les puissances, grandeurs, contraintes physiques de composants, sous-ensembles, ensembles","1"
"104407","Faire évoluer les schémas, les plans de détails ou d'ensembles","1"
"104419","Réaliser les ébauches, schémas de pièces, systèmes ou ensembles","1"
"104420","Réaliser des relevés dimensionnels","1"
"104421","Etudier et concevoir des pièces, sous-ensembles ou ensembles","1"
"104423","Déterminer les spécifications et les cotations des pièces, sous-ensembles ou ensembles","1"
"104435","Dessiner des avant-projets (roughs, croquis) à partir du concept, des thèmes définis","1"
"104468","Réaliser un dessin artistique","1"
"104477","Adapter un patron ou un gabarit à partir du croquis","1"
"104480","Détecter les difficultés de montage, les non-conformités (esthétique, tomber de vêtement, bien-aller) et apporter des solutions techniques","1"
"104535","Concevoir les spécifications de l'installation automatisée en fonction du cahier des charges","1"
"104536","Réaliser l'analyse fonctionnelle de l'installation et la décliner en un programme d'automatisation","1"
"104537","Paramétrer un programme d'automatisation pour un automate programmable","1"
"104540","Vérifier le programme d'automatisation par une série de tests sur plate-forme d'essais, en atelier, sur site","1"
"104541","Effectuer les réglages de mise en service des dispositifs et instruments commandés (vérin, moteur, distributeur, transmetteurs, capteurs, régulateurs, ...)","1"
"104556","Sélectionner les composants électroniques, électriques à partir de bases de données, de nomenclatures fournisseurs","1"
"104557","Vérifier par simulation, tests, essais, calculs, les fonctionnalités et les caractéristiques du système électrique ou électronique","1"
"104580","Réaliser les mesures et les analyses, identifier des non-conformités et réaliser des ajustements techniques","1"
"104581","Relever les données et les consigner dans les cahiers de laboratoire, les bases de données, les registres, les comptes rendus","1"
"104582","Concevoir des consignes, procédures, cahiers des charges, rapports d'études à partir des résultats de tests et d'essais","1"
"104604","Réaliser les rapports de contrôles et de diagnostics d'anomalie ou de risque et les transmettre aux services production, maintenance, sécurité..","1"
"104605","Conseiller et prescrire des solutions techniques correctives, préventives ou d'amélioration des équipements","1"
"104702","Planifier et interpréter la réalisation des mesures, analyses et des résultats","1"
"104704","Valider les résultats de mesures et d'analyses","1"
"104734","Préparer et contrôler la conformité des produits et des appareils de mesures et d'analyses","1"
"104751","Sélectionner le matériel de contrôle ou d'essais et vérifier sa conformité","1"
"104753","Analyser les mesures, diagnostiquer les causes de dysfonctionnement et effectuer les modifications de mise en conformité du produit","1"
"104765","Sélectionner les matières premières (arômes naturels, essences, produits de synthèse, ...) auprès de fournisseurs","1"
"104767","Vérifier les caractéristiques organoleptiques (successions de sensations, pyramide olfactive, équilibre, stabilité, etc.) du produit final","1"
"104771","Mémoriser des odeurs","1"
"104854","Surveiller l'approvisionnement des machines, des installations et le flux des matières ou des produits","1"
"104871","Positionner préalablement les pièces, éléments, sous-ensembles (assises, montants) , après traçages (épures, emplacements, etc.)","1"
"104872","Poser les composants d'assemblage et encoller les parties jointives","1"
"104886","Monter des fermettes","1"
"104887","Monter des jouets","1"
"104888","Monter du mobilier","1"
"104889","Monter des placages","1"
"104900","Contrôler la qualité du bois utilisé pour la construction","1"
"104901","Réaliser des opérations de découpe de feuilles de placage","1"
"104902","Réaliser des opérations relatives au placage","1"
"104908","Vérifier les éléments de sécurité sur les équipements de production (machine-outil, ligne de montage, etc.)","1"
"104914","Réaliser des opérations sur des ouvrages de bois","1"
"104929","Réaliser des opérations de sciage, tronçonnage","1"
"104931","Réaliser des opérations de vernissage sur des ouvrages en bois","1"
"104945","Prélever des échantillons sur les panneaux fabriqués et procéder aux tests mécaniques, physiques, ...","1"
"104955","Réaliser des opérations de déroulage","1"
"104956","Réaliser des opérations de disposition des différents plis composant le panneau (kraft, papier mélaminé, placage, ...)","1"
"104977","Eliminer les corps étrangers (éléments métalliques, ...), écorcer et tronçonner les grumes (transformation en billes, billons, ...)","1"
